iteration	time	leafsWith	leafsWithout	resultingClade	incomingClade	segments
9	4.976989224808108	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
9	2.080782451932862	1	1	LPAI	LPAI	{3}
9	2.90531113008916	2	9	HPAI	HPAI	{1, 2}
9	3.3418654027880166	2	2	HPAI	HPAI	{3, 5, 6}
9	3.327405763846855	1	53	HPAI	HPAI	{2, 5, 7}
9	233.0363260686929	6	364	LPAI	LPAI	{5}
9	13.524046488345903	2	4	LPAI	LPAI	{1}
9	3.2448476749457313	149	30	HPAI	LPAI	{3, 4, 5, 6}
10	8.266561536922836	1	2	LPAI	LPAI	{4, 5}
10	2.022503770177309	1	1	LPAI	LPAI	{3}
10	1.9421702931505251	6	1	HPAI	LPAI	{6, 7}
10	1.5991562500047394	1	3	HPAI	LPAI	{4}
10	253.03462874380295	6	364	LPAI	unknown	{1}
10	0.4365385493249505	1	1	HPAI	LPAI	{1}
10	1.5037915695534139	28	2	HPAI	LPAI	{4, 6}
10	3.176574541923742	9	2	HPAI	HPAI	{3, 5, 7}
10	3.2023361899789506	25	2	HPAI	LPAI	{4, 6}
10	8.40809746473144	1	1	LPAI	LPAI	{2, 4, 7}
10	1.646367189676539	2	2	HPAI	LPAI	{4, 6}
10	2.8452534181654983	5	3	HPAI	LPAI	{6}
10	3.3506178018182027	1	53	HPAI	HPAI	{1, 2, 5, 7}
10	3.1597428620074197	4	21	HPAI	LPAI	{3}
10	41.81003542797657	4	351	LPAI	LPAI	{2, 4}
10	200.8236941869162	1	1	LPAI	unknown	{1, 4}
10	3.204832651954689	25	1	HPAI	LPAI	{4, 6}
10	3.039845039604188	1	1	HPAI	LPAI	{4}
10	2.7101153814180634	1	1	HPAI	HPAI	{2}
10	1.5418044350921036	1	1	HPAI	LPAI	{4, 5, 7}
10	2.725477934739388	1	2	HPAI	HPAI	{1, 4}
10	2.595274688451468	1	2	LPAI	LPAI	{5, 6}
10	3.1384732519072713	3	1	LPAI	LPAI	{3}
10	165.29443159448	6	358	LPAI	LPAI	{3}
