Sample	min:cow:0	max:cow:0	min:cow:1	max:cow:1	min:cow:2	max:cow:2	min:cow:3	max:cow:3	min:cow:4	max:cow:4	min:cow:5	max:cow:5	min:cow:6	max:cow:6	min:cow:7	max:cow:7
40	1.0623241714497453	1.5698466300028144	1.0623241714497453	1.5698466300028144	1.0623241714497453	1.608538242966432	1.0623241714497453	1.5698466300028144	1.0623241714497453	6.927976220758666	1.0623241714497453	1.5698466300028144	1.0623241714497453	3.0622433746095794	1.0623241714497453	1.5698466300028144
41	1.086396469630131	1.5479586908292902	1.086396469630131	1.5479586908292902	1.086396469630131	1.5479586908292902	1.086396469630131	1.5479586908292902	1.086396469630131	6.55527711174625	1.086396469630131	1.5479586908292902	1.086396469630131	3.100413386775813	1.086396469630131	1.5479586908292902
42	1.123322719255043	1.4561674131887514	1.123322719255043	1.4561674131887514	1.123322719255043	1.4561674131887514	1.123322719255043	1.4561674131887514	1.123322719255043	6.811674721131169	1.123322719255043	1.4561674131887514	1.123322719255043	3.1679733795315883	1.123322719255043	1.4561674131887514
43	1.065912758742229	1.4486914317895412	1.065912758742229	1.4486914317895412	1.065912758742229	1.4486914317895412	1.065912758742229	1.4486914317895412	1.065912758742229	6.580224865250585	1.065912758742229	1.4486914317895412	1.065912758742229	2.8142172748551673	1.065912758742229	1.4486914317895412
44	1.0713684111755413	1.4375468883100382	1.0713684111755413	1.4375468883100382	1.0713684111755413	1.4375468883100382	1.0713684111755413	1.4375468883100382	1.0713684111755413	6.35099587810754	1.0713684111755413	1.4375468883100382	1.0713684111755413	3.036657509951567	1.0713684111755413	1.4375468883100382
45	1.0667473705136956	1.554933306993945	1.0667473705136956	1.554933306993945	1.0667473705136956	1.554933306993945	1.0667473705136956	1.554933306993945	1.0667473705136956	6.239795357617169	1.0667473705136956	1.554933306993945	1.0667473705136956	2.79251406761702	1.0667473705136956	1.554933306993945
46	1.045079231208149	1.5622694335093854	1.045079231208149	1.5622694335093854	1.045079231208149	1.5622694335093854	1.045079231208149	1.5622694335093854	1.045079231208149	6.409470225734481	1.045079231208149	1.5622694335093854	1.045079231208149	3.0478151260428774	1.045079231208149	1.5622694335093854
47	1.1003488892018538	1.5016460791789257	1.1003488892018538	1.5016460791789257	1.1003488892018538	1.5016460791789257	1.1003488892018538	1.5016460791789257	1.1003488892018538	6.450124263338097	1.1003488892018538	1.5016460791789257	1.1003488892018538	3.2478739553461082	1.1003488892018538	1.5016460791789257
48	1.1005604949140206	1.5601401281760445	1.1005604949140206	1.5601401281760445	1.1005604949140206	1.5601401281760445	1.1005604949140206	1.5601401281760445	1.1005604949140206	7.107978655405901	1.1005604949140206	1.5601401281760445	1.1005604949140206	3.2470479678909214	1.1005604949140206	1.5601401281760445
49	1.1031775417490621	1.5613233231046308	1.1031775417490621	1.5613233231046308	1.1031775417490621	1.5613233231046308	1.1031775417490621	1.5613233231046308	1.1031775417490621	6.602481270093449	1.1031775417490621	1.5613233231046308	1.1031775417490621	3.0772268895814534	1.1031775417490621	1.5613233231046308
50	1.127711682945062	1.5074362252002231	1.127711682945062	1.5074362252002231	1.127711682945062	1.5074362252002231	1.127711682945062	1.5074362252002231	1.127711682945062	6.44462129592651	1.127711682945062	1.5074362252002231	1.127711682945062	3.028600310116815	1.127711682945062	1.5074362252002231
