#node	date	numeric date
A/swan/Oklahoma/22-032414-001-original/2022|EPI_ISL_16297362|2022-10-11	2022-10-11	2022.776712
NODE_0000051	2022-10-14	2022.784213
A/chicken/guinea_fowl/Kansas/22-033226-001-original/2022|EPI_ISL_16297341|2022-10-14	2022-10-14	2022.784932
NODE_0000052	2022-10-14	2022.784932
A/domestic_duck/Florida/22-032962-001-original/2022|EPI_ISL_16297343|2022-10-14	2022-10-14	2022.784932
NODE_0000053	2022-10-20	2022.801370
A/chicken/Florida/22-033924-001-original/2022|EPI_ISL_16297134|2022-10-20	2022-10-20	2022.801370
NODE_0000054	2022-11-01	2022.834247
A/goose/North_Carolina/W22-1055/2022|EPI_ISL_17373072|2022-11-01	2022-11-01	2022.834247
NODE_0000055	2022-11-08	2022.853425
A/chicken/North_Dakota/22-036126-001-original/2022|EPI_ISL_16271854|2022-11-08	2022-11-08	2022.853425
NODE_0000056	2022-11-20	2022.886301
A/snow_goose/South_Dakota/22-038501-002-original/2022|EPI_ISL_17036173|2022-11-20	2022-11-20	2022.886301
A/red-tailed_hawk/New_York/23-005536-001-original/2023|EPI_ISL_17964857|2023-02-11	2023-02-11	2023.113699
NODE_0002611	2022-01-27	2022.073802
A/lesser_snow_goose/North_Dakota/ND-10/2022|EPI_ISL_15214845|2022-04-08	2022-04-08	2022.267123
A/Snow_Goose/North_Dakota/USDA-009481-003/2022|EPI_ISL_18132199|2022-03-23	2022-03-23	2022.223288
A/turkey/Minnesota/USDA-011792-004/2022|EPI_ISL_18132741|2022-04-15	2022-04-15	2022.286301
A/Rosss_Goose/North_Dakota/USDA-009481-019/2022|EPI_ISL_18132479|2022-03-23	2022-03-23	2022.223288
A/chicken/Minnesota/22-013752-001-original/2022|EPI_ISL_16171518|2022-05-03	2022-05-03	2022.335616
A/Chicken/AB/FAV-0438-02/2022|EPI_ISL_16183595|2022-05-16	2022-05-16	2022.371233
A/Great_Horned_Owl/Minnesota/USDA-012305-001/2022|EPI_ISL_18133436|2022-04-18	2022-04-18	2022.294521
A/Hooded_Merganser/Wisconsin/USDA-011029-001/2022|EPI_ISL_18133194|2022-04-04	2022-04-04	2022.256164
NODE_0002662	2022-04-22	2022.305479
A/Great_Horned_Owl/Wyoming/USDA-013016-001/2022|EPI_ISL_18133512|2022-04-22	2022-04-22	2022.305479
A/Great_Horned_Owl/Wyoming/USDA-013016-002/2022|EPI_ISL_18133489|2022-04-25	2022-04-25	2022.313699
NODE_0002672	2022-05-05	2022.341096
A/Red_Fox/AB/FAV-0835-01/2022|EPI_ISL_16023345|2022-05-05	2022-05-05	2022.341096
A/Red_Fox/AB/FAV-0835-13/2022|EPI_ISL_16023371|2022-06-10	2022-06-10	2022.439726
NODE_0002621	2022-04-20	2022.300000
A/turkey/Minnesota/22-012285-002-original/2022|EPI_ISL_16171327|2022-04-20	2022-04-20	2022.300000
A/turkey/Minnesota/22-012285-001-original/2022|EPI_ISL_16171326|2022-04-20	2022-04-20	2022.300000
A/turkey/Minnesota/USDA-012285-001/2022|EPI_ISL_18132775|2022-04-20	2022-04-20	2022.300000
NODE_0002650	2022-03-22	2022.220548
A/chicken/South_Dakota/22-008704-002-original/2022|EPI_ISL_11971487|2022-03-22	2022-03-22	2022.220548
A/chicken/South_Dakota/22-008704-001-original/2022|EPI_ISL_11971486|2022-03-22	2022-03-22	2022.220548
A/turkey/South_Dakota/USDA-008704-001/2022|EPI_ISL_18132754|2022-03-22	2022-03-22	2022.220548
NODE_0002652	2022-04-04	2022.256164
A/turkey/Minnesota/22-010312-004-original/2022|EPI_ISL_13433365|2022-04-04	2022-04-04	2022.256164
A/turkey/Minnesota/USDA-010312-001/2022|EPI_ISL_18132713|2022-04-04	2022-04-04	2022.256164
A/turkey/Minnesota/22-010312-001-original/2022|EPI_ISL_13433352|2022-04-04	2022-04-04	2022.256164
NODE_0000074	2022-04-11	2022.274624
A/turkey/Minnesota/22-011142-002-original/2022|EPI_ISL_15004407|2022-04-11	2022-04-11	2022.275342
NODE_0000077	2022-04-11	2022.275342
A/turkey/Minnesota/22-011142-001-original/2022|EPI_ISL_15004406|2022-04-11	2022-04-11	2022.275342
A/turkey/Minnesota/USDA-011142-001/2022|EPI_ISL_18132665|2022-04-11	2022-04-11	2022.275342
NODE_0002740	2022-03-05	2022.175018
A/Hooded_Merganser/Wisconsin/USDA-011817-001/2022|EPI_ISL_18133206|2022-04-03	2022-04-03	2022.253425
